,Date,SX5E,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752,-0.34968752
1,2010/1/5,-0.36719173,-0.3527424,-0.34628716,-0.35771516,-0.3524758,-0.35074824,-0.35213357,-0.34981346,-0.35101855,-0.34700552,-0.35084522
2,2010/1/6,-0.38634035,-0.3583803,-0.3420637,-0.35517412,-0.35667473,-0.3526404,-0.348596,-0.34507194,-0.35180518,-0.35339776,-0.35609964
3,2010/1/7,-0.28064087,-0.36180332,-0.33855468,-0.35653287,-0.36116502,-0.35043165,-0.3451232,-0.34597376,-0.34996903,-0.35797074,-0.3563487
4,2010/1/8,-0.25634304,-0.36169824,-0.33755723,-0.35751987,-0.3655255,-0.34908584,-0.34891254,-0.3528787,-0.3510203,-0.36080903,-0.360458
5,2010/1/11,-0.2892406,-0.36620253,-0.3569229,-0.35140085,-0.3874556,-0.3571972,-0.36466262,-0.3625362,-0.34361392,-0.3713143,-0.36376482
6,2010/1/12,-0.36129203,-0.36415333,-0.3614357,-0.3550294,-0.39441535,-0.35950786,-0.36406782,-0.36391193,-0.33684808,-0.3741303,-0.36210507
7,2010/1/13,-0.24741139,-0.36646307,-0.36150554,-0.356822,-0.3949941,-0.36207956,-0.3692921,-0.36286798,-0.33346236,-0.37289605,-0.36090302
8,2010/1/14,-0.22828764,-0.36837238,-0.36499378,-0.3561667,-0.39299327,-0.3593387,-0.37095428,-0.36015266,-0.338502,-0.37188846,-0.36221045
9,2010/1/15,-0.25910217,-0.36697063,-0.37225428,-0.36032942,-0.3919619,-0.35829744,-0.36521077,-0.35356572,-0.34361854,-0.37259543,-0.36613438
10,2010/1/19,-0.21555458,-0.37072405,-0.3690314,-0.34814665,-0.3931075,-0.3543235,-0.35697496,-0.35806274,-0.3466405,-0.38309336,-0.37057835
11,2010/1/20,-0.2054296,-0.37441978,-0.3709574,-0.3433064,-0.39069614,-0.34840393,-0.36133063,-0.35983634,-0.34845513,-0.38337347,-0.37105495
12,2010/1/21,-0.3448546,-0.37599483,-0.37305808,-0.34080327,-0.3927139,-0.34492418,-0.35783544,-0.358839,-0.35064727,-0.38508302,-0.37540978
