,Date,ethernet,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00025,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027,2.1096027
1,0.0005,2.1977296,2.0614939,2.0598772,2.3133702,2.1519072,1.9917436,2.121838,2.052155,2.1072838,2.2523327,2.052408,2.156867,2.1599228,2.0937204,1.9843731,2.0825787,2.1462226,2.0992916,2.0795207,2.2389925,2.0945506,1.9379224,2.090808,2.0900073,2.1308844,2.1898437,2.1128535,2.1121845,2.1521966,2.159195,2.1646829,2.2108433,2.0003047,2.1726446,1.9085093,2.151314,2.0504029,2.2873268,2.153549,2.0473957,2.0348465,2.1542954,2.0625398,1.9043528,2.003391,2.0448961,2.0820782,1.9008808,2.136075,2.1106255,2.1500587,1.94492,2.0695982,1.9310211,2.2010832,2.1533628,2.0468059,2.097351,2.2987936,1.9821706,2.0213819,2.075209,2.0769863,2.1086934,2.0200496,2.1740339,2.1208463,2.0998812,2.134818,2.0204003,2.0592868,2.1139772,2.0836866,2.1013718,1.9133837,2.1171722,2.1522114,1.979986,2.1040423,2.1839514,2.2510598,2.0651083,2.184991,2.2678945,2.0455928,2.149067,2.037736,2.1699617,1.9874057,2.2489228,2.115223,2.0821412,2.0624774,2.086232,2.235339,2.1783342,1.9401398,2.2004633,2.0913436,2.2305756,2.041235
2,0.00075,-0.22739741,2.013385,2.0101519,2.517138,2.194212,1.8738847,2.1340735,1.9947076,2.104965,2.3950627,1.9952134,2.2041316,2.210243,2.0778384,1.8591435,2.0555546,2.1828423,2.0889804,2.049439,2.3683825,2.0794983,1.7662423,2.0720134,2.0704122,2.1521661,2.2700849,2.1161044,2.1147664,2.1947908,2.2087874,2.2197633,2.3120842,1.891007,2.2356868,1.707416,2.1930254,1.9912033,2.4650507,2.1974955,1.9851887,1.9600905,2.1989884,2.0154772,1.6991031,1.8971794,1.9801894,2.054554,1.6921592,2.1625476,2.1116486,2.1905146,1.7802374,2.0295935,1.7524397,2.292564,2.197123,1.9840093,2.0850997,2.4879847,1.8547386,1.933161,2.040815,2.0443702,2.107784,1.9304966,2.2384653,2.1320899,2.09016,2.1600332,1.9311979,2.0089712,2.118352,2.0577707,2.093141,1.717165,2.124742,2.1948204,1.8503693,2.0984821,2.2583003,2.3925169,2.0206141,2.2603793,2.4261866,1.9815831,2.1885314,1.9658693,2.230321,1.8652089,2.3882427,2.120843,2.0546796,2.0153522,2.0628612,2.3610752,2.2470658,1.7706771,2.2913237,2.0730848,2.3515487,1.9728675
3,0.001,-0.13818233,1.9652762,1.9604263,2.720906,2.2365167,1.7560258,2.146309,1.9372602,2.102646,2.5377927,1.9380188,2.2513962,2.2605631,2.0619562,1.7339139,2.0285306,2.2194624,2.0786693,2.0193572,2.4977725,2.0644464,1.5945619,2.0532186,2.050817,2.1734478,2.350326,2.1193552,2.1173482,2.2373848,2.25838,2.2748437,2.4133248,1.7817092,2.298729,1.5063226,2.2347367,1.9320037,2.6427748,2.241442,1.9229817,1.8853345,2.2436814,1.9684145,1.4938533,1.7909677,1.9154829,2.0270295,1.4834374,2.1890202,2.1126716,2.2309709,1.6155547,1.9895891,1.5738581,2.3840446,2.2408834,1.9212127,2.072848,2.6771755,1.7273066,1.8449402,2.0064213,2.011754,2.1068747,1.8409436,2.3028965,2.1433334,2.0804384,2.1852489,1.8419955,1.9586555,2.1227267,2.0318546,2.0849102,1.520946,2.1323118,2.2374291,1.7207527,2.092922,2.3326492,2.533974,1.97612,2.3357677,2.5844784,1.9175735,2.2279959,1.8940027,2.29068,1.743012,2.5275629,2.1264634,2.027218,1.9682271,2.0394905,2.4868114,2.3157973,1.6012142,2.3821845,2.0548258,2.4725215,1.9045
4,0.00125,-0.2796209,1.9171673,1.9107008,2.9246736,2.2788212,1.6381667,2.1585443,1.8798126,2.1003273,2.6805227,1.8808241,2.2986608,2.3108833,2.046074,1.6086843,2.0015066,2.256082,2.0683582,1.9892753,2.6271622,2.0493941,1.4228817,2.0344238,2.0312219,2.1947296,2.4305673,2.122606,2.11993,2.2799788,2.3079724,2.329924,2.5145655,1.6724113,2.3617709,1.3052293,2.276448,1.8728039,2.820499,2.2853882,1.8607748,1.8105783,2.2883742,1.9213517,1.2886035,1.684756,1.8507762,1.9995052,1.2747157,2.2154925,2.1136944,2.2714267,1.4508721,1.9495845,1.3952767,2.4755254,2.2846434,1.8584158,2.0605965,2.8663664,1.5998745,1.7567192,1.9720275,1.9791379,2.1059654,1.7513905,2.3673277,2.154577,2.0707169,2.210464,1.7527931,1.9083396,2.1271012,2.0059385,2.0766792,1.3247272,2.1398816,2.2800379,1.591136,2.0873616,2.406998,2.675431,1.9316257,2.411156,2.7427702,1.8535637,2.26746,1.8221359,2.351039,1.6208149,2.666883,2.1320834,1.9997566,1.9211018,2.0161197,2.6125476,2.3845289,1.4317514,2.4730449,2.0365667,2.5934944,1.8361323
5,0.0015,-0.25242117,1.8563669,1.9073061,2.826477,2.4850602,1.6850934,2.2895825,1.8214881,2.1415033,2.6952083,1.8929558,2.23519,2.1628978,2.1131046,1.565002,1.9415314,2.2021794,1.897864,1.9842501,2.5324888,2.0215616,1.3820565,2.1334648,1.9650272,2.1347835,2.5490983,2.3532073,2.168558,2.3872113,2.3852224,2.3001084,2.5822716,1.6911907,2.3102975,1.2349159,2.3292484,1.7623022,2.7317631,2.2700775,1.8082168,1.7440503,2.3175085,1.8785555,1.1680496,1.7839718,1.851719,2.0309386,1.2529576,2.2784998,2.0510163,2.2971783,1.4907687,2.0400517,1.597014,2.4809287,2.27035,1.8654203,2.0732787,2.777407,1.5692269,1.6160839,1.9766285,2.0671778,2.2039845,1.8333635,2.2337823,2.125311,2.2228932,2.3347971,1.7741482,2.0388737,2.0109615,2.1329346,2.2316747,1.4462876,2.1613388,2.169103,1.6534607,2.161454,2.4104302,2.6185434,1.9450462,2.3709188,2.6427145,1.7953753,2.2687473,1.8875372,2.3089106,1.5828611,2.5444968,2.051154,2.0643673,1.8077809,2.1364622,2.7312725,2.3625417,1.3378857,2.4562993,1.9741154,2.4861016,1.8326645
6,0.00175,-0.08051892,1.7955666,1.9039114,2.7282805,2.6912994,1.7320204,2.4206207,1.7631637,2.1826797,2.7098942,1.9050876,2.171719,2.0149126,2.1801353,1.5213199,1.8815563,2.1482768,1.7273697,1.979225,2.4378152,1.993729,1.3412313,2.2325058,1.8988327,2.0748372,2.6676292,2.5838087,2.217186,2.4944441,2.462473,2.2702928,2.649978,1.7099702,2.2588239,1.1646025,2.3820486,1.6518006,2.6430273,2.2547667,1.755659,1.6775222,2.346643,1.8357596,1.0474957,1.8831879,1.8526618,2.0623722,1.2311997,2.3415074,1.9883385,2.3229303,1.5306653,2.130519,1.7987514,2.4863324,2.2560563,1.8724252,2.0859609,2.6884475,1.5385792,1.4754486,1.9812299,2.155218,2.3020039,1.9153368,2.1002371,2.0960445,2.37507,2.4591305,1.7955036,2.169408,1.8948216,2.259931,2.3866706,1.5678482,2.182796,2.0581682,1.7157857,2.2355464,2.4138627,2.561656,1.958467,2.3306818,2.5426588,1.7371873,2.2700343,1.9529386,2.2667825,1.5449073,2.4221106,1.9702245,2.1289783,1.69446,2.256805,2.8499975,2.3405545,1.2440202,2.4395537,1.911664,2.3787093,1.8291969
7,0.002,-0.2774449,1.7347662,1.9005167,2.6300843,2.8975391,1.7789472,2.5516589,1.7048392,2.2238557,2.7245798,1.9172194,2.1082482,1.8669271,2.2471662,1.4776376,1.8215811,2.0943742,1.5568753,1.9741999,2.3431416,1.9658966,1.3004063,2.331547,1.8326383,2.0148911,2.7861605,2.8144102,2.2658138,2.6016767,2.5397232,2.240477,2.717684,1.7287496,2.2073503,1.0942892,2.4348493,1.541299,2.5542917,2.2394562,1.7031012,1.6109941,2.3757772,1.7929637,0.92694193,1.9824039,1.8536048,2.0938056,1.2094418,2.4045148,1.9256605,2.3486822,1.570562,2.2209864,2.0004888,2.491736,2.2417626,1.8794299,2.098643,2.5994883,1.5079317,1.3348132,1.9858311,2.243258,2.400023,1.9973102,1.966692,2.0667784,2.5272467,2.583464,1.816859,2.2999423,1.7786819,2.3869271,2.541666,1.689409,2.2042532,1.9472334,1.7781107,2.309639,2.417295,2.5047684,1.9718876,2.2904449,2.4426033,1.6789991,2.2713218,2.0183399,2.2246544,1.5069535,2.2997243,1.8892951,2.193589,1.5811391,2.3771477,2.9687226,2.3185673,1.1501546,2.4228084,1.8492129,2.2713165,1.8257294
8,0.00225,-0.20672563,1.6739658,1.897122,2.5318878,3.103778,1.8258739,2.6826968,1.6465149,2.2650318,2.7392654,1.9293511,2.0447774,1.7189419,2.3141968,1.4339553,1.761606,2.0404713,1.3863811,1.9691747,2.2484684,1.9380639,1.2595812,2.430588,1.7664435,1.9549451,2.9046912,3.0450113,2.3144417,2.7089093,2.616973,2.2106612,2.7853901,1.747529,2.1558769,1.023976,2.4876494,1.4307975,2.4655561,2.2241452,1.6505433,1.5444661,2.4049115,1.7501677,0.80638814,2.0816197,1.8545476,2.1252391,1.1876838,2.4675221,1.8629825,2.374434,1.6104587,2.3114536,2.202226,2.4971392,2.2274692,1.8864346,2.1113253,2.5105288,1.477284,1.194178,1.9904323,2.3312979,2.498042,2.0792832,1.8331467,2.037512,2.679423,2.7077968,1.838214,2.4304764,1.6625422,2.5139232,2.6966615,1.8109695,2.2257104,1.8362986,1.8404354,2.3837311,2.4207275,2.447881,1.9853082,2.2502077,2.342548,1.620811,2.2726088,2.0837412,2.182526,1.4689995,2.1773384,1.8083656,2.2581997,1.4678183,2.4974904,3.0874474,2.29658,1.0562892,2.4060628,1.7867614,2.1639242,1.8222617
9,0.0025,1.684199,1.6780746,1.7978693,2.5337076,2.9162245,1.7052497,2.616931,1.578512,2.2356765,2.7767081,2.0270903,1.9727178,1.5990416,2.3290389,1.3736191,1.8583667,1.9431844,1.2189308,2.041369,2.2201476,1.9425771,1.2378377,2.6533313,1.8631749,2.0933452,2.750103,3.047325,2.5630755,2.6745596,2.5689375,2.326302,2.8747442,1.5597651,2.154869,1.0726382,2.4560208,1.489351,2.359099,2.060199,1.68185,1.4414318,2.4970667,1.6882677,0.70496994,1.8894751,1.9587536,2.3577108,1.3295093,2.4294665,1.8232414,2.3866992,1.5541786,2.3019223,2.199091,2.5435104,2.2388282,1.9218392,2.1442838,2.623805,1.587734,1.1453736,2.075485,2.361263,2.4566004,2.0817082,1.7617462,2.1740813,2.641007,2.6655412,1.8880701,2.4296825,1.76403,2.474524,2.708696,1.8549469,2.06867,1.8917174,1.9045413,2.2083716,2.5729027,2.357442,2.0275369,2.294731,2.3333359,1.5681117,2.3184845,2.0105886,2.0994375,1.5229994,2.1971738,1.8245382,2.0725105,1.5602497,2.4101954,3.1099107,2.2368002,1.0990738,2.5096884,1.8502738,1.9910147,1.9049284
