,Date,TPX,0,1,2,3,4,5,6,7,8,9
0,2010/1/4,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668,-0.8790668
1,2010/1/5,-0.9172914,-0.8553092,-0.8725378,-0.84099936,-0.8308439,-0.84001297,-0.9128904,-1.0160844,-0.96482694,-0.84476143,-0.8996016
2,2010/1/6,-0.90014267,-0.86923146,-0.86256576,-0.78713036,-0.8031054,-0.82427645,-0.9731144,-1.0585729,-0.9255733,-0.94938356,-0.93554425
3,2010/1/7,-0.91221845,-0.802828,-0.9149919,-0.7725042,-0.80284745,-0.82036084,-1.0104568,-1.0693107,-0.947246,-0.85506916,-0.95498997
4,2010/1/8,-0.90196127,-0.76169664,-0.9427877,-0.7573345,-0.7540767,-0.8356798,-1.0321838,-1.075761,-0.8462064,-0.86177695,-0.83818614
5,2010/1/11,-0.96646637,-0.75551015,-0.95120436,-0.7776213,-0.7437223,-0.84868085,-0.97956926,-1.0745653,-0.86869717,-0.85946006,-0.7903716
6,2010/1/12,-0.990746,-0.67771924,-0.8439055,-0.79217774,-0.8422144,-0.8480235,-0.9544445,-1.1078517,-0.7841465,-0.8566048,-0.8153839
7,2010/1/13,-1.0151727,-0.58771795,-0.83998936,-0.7989934,-0.8761722,-0.9206364,-0.8693418,-1.1565363,-0.81350416,-0.7844932,-0.88135266
8,2010/1/14,-0.98441726,-0.5445968,-0.8461122,-0.8517931,-0.7763933,-0.8705714,-0.9132458,-1.0576897,-0.86179113,-0.8562612,-1.0120693
9,2010/1/15,-0.97820425,-0.51126754,-0.8067388,-0.8361769,-0.7673381,-0.86378866,-0.938435,-0.99081266,-0.8787755,-0.865801,-1.032872
10,2010/1/19,-1.0009044,-0.5097082,-0.7952438,-0.79924077,-0.77727157,-0.8325281,-0.94217265,-1.0405105,-0.8524122,-0.8876455,-0.969763
11,2010/1/20,-0.93677723,-0.44954178,-0.8392889,-0.7552763,-0.7854882,-0.78413707,-0.8044547,-1.0406556,-0.8511539,-0.807955,-0.8740647
12,2010/1/21,-0.9644054,-0.4234704,-0.8642206,-0.707039,-0.8311493,-0.74376875,-0.79410887,-1.0834589,-0.85559076,-0.7732561,-0.9757408
13,2010/1/22,-1.0210723,-0.46282056,-0.79357433,-0.6671488,-0.86709803,-0.7456142,-0.73034406,-1.0581987,-0.81458455,-0.85732275,-1.0242217
