,Date,TPX,0,1,2,3,4,5,6,7,8,9
0,2000/1/3,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365,0.20296365
1,2000/1/4,0.23123223,0.24719518,0.19779056,0.16893137,0.20133206,0.20837998,0.20185596,0.23613092,0.21840751,0.22877172,0.21994801
2,2000/1/5,0.24026677,0.29142672,0.19261746,0.13489905,0.19970046,0.21379632,0.20074826,0.2692982,0.23385134,0.25457975,0.23693234
3,2000/1/6,0.30685163,0.33565825,0.18744436,0.10086676,0.19806886,0.21921262,0.19964054,0.30246544,0.24929518,0.2803878,0.25391668
4,2000/1/7,0.34104127,0.3798898,0.18227127,0.06683446,0.19643725,0.22462897,0.19853286,0.3356327,0.26473904,0.30619586,0.27090102
5,2000/1/10,0.34257698,0.5125843,0.16675197,-0.03526242,0.19154245,0.24087794,0.19520976,0.43513447,0.31107056,0.38361996,0.32185405
6,2000/1/11,0.35245243,0.55564576,0.16139406,-0.06885532,0.18972178,0.24671759,0.19455622,0.4669453,0.32668266,0.40856928,0.338382
7,2000/1/12,0.3475181,0.51708144,0.14314365,-0.07179601,0.17471138,0.28208616,0.22558178,0.40413374,0.35403123,0.37361503,0.32307386
8,2000/1/13,0.3888602,0.47851717,0.12489327,-0.0747367,0.15970102,0.31745481,0.25660735,0.3413222,0.3813799,0.33866084,0.30776575
9,2000/1/14,0.3814536,0.43995285,0.10664289,-0.0776774,0.14469063,0.35282338,0.28763294,0.2785107,0.40872848,0.3037066,0.2924576
10,2000/1/18,0.43957403,0.2856956,0.033641323,-0.08944017,0.08464912,0.49429777,0.41173527,0.027264588,0.518123,0.16388966,0.23122504
11,2000/1/19,0.45622844,0.24931291,0.016068947,-0.093399934,0.0694539,0.5287549,0.44350278,-0.033888824,0.5455876,0.1300856,0.21641682
12,2000/1/20,0.4144851,0.2879313,0.021806106,-0.1323937,0.04790452,0.53187716,0.50077695,-0.03803683,0.57704014,0.13582383,0.21879545
13,2000/1/21,0.4194558,0.32654965,0.027543265,-0.17138746,0.026355142,0.5349994,0.55805105,-0.042184833,0.6084926,0.14156206,0.22117405
14,2000/1/24,0.41507176,0.44240475,0.044754744,-0.28836882,-0.03829299,0.5443662,0.72987354,-0.054628856,0.7028501,0.15877676,0.22830993
15,2000/1/25,0.43554416,0.48102313,0.0504919,-0.32736257,-0.059842363,0.54748845,0.78714764,-0.05877686,0.73430264,0.16451499,0.23068856
16,2000/1/26,0.45521975,0.5196415,0.05622906,-0.36635634,-0.081391744,0.55061066,0.84442174,-0.06292487,0.7657552,0.17025323,0.23306718
